T,x1,y1,z1,x2,y2,z2,x3,y3,z3,pitch,roll
19357,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
19496,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
19628,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
19759,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
19891,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
20026,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
20158,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
20293,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
20428,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.5
20566,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
20697,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
20829,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
20961,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
21093,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
21225,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
21357,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
21491,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
21623,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
21752,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
21884,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
22019,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
22151,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
22294,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
22424,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
22556,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
22688,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
22826,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
22957,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
23090,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
23220,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
23353,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
23489,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
23620,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
23758,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
23895,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
24031,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
24163,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
24311,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
24450,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
24598,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
24739,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
24875,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
25006,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
25143,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
25286,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
25417,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
25572,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
25707,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
25840,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
25984,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
26130,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
26261,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
26401,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
26551,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
26689,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
26824,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
26957,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
27092,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
27239,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
27379,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
27517,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
27656,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
27806,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
27946,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
28082,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
28211,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
28364,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
28504,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
28643,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
