T,a1,a2,a3
53829,3695, 3828, 3728
53972,3703, 3769, 3333
54106,3767, 4016, 3696
54240,3679, 3498, 3632
54374,3637, 3809, 3653
54506,3657, 3807, 3536
54634,3712, 2851, 4027
54768,3669, 3439, 3344
54903,3698, 3583, 3615
55037,3618, 3375, 3648
55174,3572, 3549, 3523
55306,3721, 3632, 3569
